scope,transition,feature_row,FTV,LD,SPH,BPE
all_workbook_descriptive,T0→T1,FTV,1.0,0.3833026422707906,-0.003999949137024855,0.23693330168525992
all_workbook_descriptive,T0→T1,LD,0.3833026422707906,1.0,-0.005957886915081652,0.009181526078914183
all_workbook_descriptive,T0→T1,SPH,-0.003999949137024855,-0.005957886915081652,1.0,-0.10243972737445323
all_workbook_descriptive,T0→T1,BPE,0.23693330168525992,0.009181526078914183,-0.10243972737445323,1.0
all_workbook_descriptive,T1→T2,FTV,1.0,0.2509675227238154,-0.10535544742463802,0.2712153707910888
all_workbook_descriptive,T1→T2,LD,0.2509675227238154,1.0,-0.22119774363631486,0.0482468384032294
all_workbook_descriptive,T1→T2,SPH,-0.10535544742463802,-0.22119774363631486,1.0,-0.11795272286460276
all_workbook_descriptive,T1→T2,BPE,0.2712153707910888,0.0482468384032294,-0.11795272286460276,1.0
all_workbook_descriptive,T2→T3,FTV,1.0,0.3625157914557299,-0.3611375080533044,0.30401181716455866
all_workbook_descriptive,T2→T3,LD,0.3625157914557299,1.0,-0.17255385025345613,0.01807831451394422
all_workbook_descriptive,T2→T3,SPH,-0.3611375080533044,-0.17255385025345613,1.0,-0.20782865959106167
all_workbook_descriptive,T2→T3,BPE,0.30401181716455866,0.01807831451394422,-0.20782865959106167,1.0
