task,fold,candidate,cell,n,predictor_transform,target_transform,model,fit_and_evaluation_scope,original_variance,residual_variance,residual_variance_ratio,original_iqr,residual_iqr,residual_iqr_ratio
static,1,LD,T1,239,log1p(FTV),log1p(LD),StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.2008741046213865,0.1302497235093645,0.6484147060909771,0.5913644862500029,0.348645607481303,0.5895612867998823
static,1,LD,T2,239,log1p(FTV),log1p(LD),StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.40195834685733245,0.2709544326934608,0.6740858469836204,0.7621400520468968,0.5751259188509779,0.7546197281016122
static,1,LD,T3,239,log1p(FTV),log1p(LD),StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.4127166107583469,0.32271563219744315,0.7819303216424187,1.1939224684724346,0.949022707922602,0.7948780033738959
delta,1,LD,T0→T1,239,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,2.7322655415696504,2.489140298322061,0.9110169785664695,1.2999999999999998,1.0241310216184543,0.7877930935526573
delta,1,LD,T1→T2,239,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,3.2280576320442567,3.149126606374616,0.9755484459490101,1.5499999999999998,1.4577636242510417,0.9404926608071238
delta,1,LD,T2→T3,239,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,2.7070286024404333,2.4747570451582743,0.914196858846352,1.5999999999999999,1.5600993340337115,0.9750620837710697
static,1,SPH,T0,239,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.008421067801302912,0.0057319079670995286,0.6806628449438069,0.128718795,0.09899043413045834,0.7690441332243543
static,1,SPH,T1,239,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.008533252114780737,0.006083753108784274,0.7129466031182177,0.1326812,0.10216159064726399,0.7699778917228967
static,1,SPH,T2,239,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.015126212845319415,0.0101471520246791,0.670832291495818,0.138538885,0.09778766427336108,0.7058499443918658
static,1,SPH,T3,239,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.021069378737338783,0.013158881496443092,0.6245500477488286,0.198943955,0.1403920909573575,0.7056866390203085
delta,1,SPH,T0→T1,239,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.004132509099776354,0.004132495635011222,0.9999967417457998,0.07291583899999998,0.0730774673199257,1.0022166421197694
delta,1,SPH,T1→T2,239,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.010388040708988402,0.010367562190223544,0.9980286447330593,0.09162111500000003,0.09006672813674071,0.9830346218417085
delta,1,SPH,T2→T3,239,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.01782533690772624,0.01779699717404891,0.9984101431673336,0.10519638,0.1039766133514737,0.9884048609987691
static,1,BPE,T0,239,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,271.1189470638952,266.23852873189634,0.9819989772575775,17.43255,16.036169618119388,0.9198980997111375
static,1,BPE,T1,239,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,161.94355100955778,153.2548296439763,0.9463472221560174,14.995700000000001,14.031557157690457,0.9357053793881217
static,1,BPE,T2,239,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,124.71364106714353,119.75379505261976,0.9602301242102821,12.40335,11.736298714615867,0.9462200707563575
static,1,BPE,T3,239,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,93.33344577781405,84.70802440732442,0.9075848823687173,9.7105,9.454678271472105,0.9736551435530719
delta,1,BPE,T0→T1,239,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,111.70859722680699,111.37714258985721,0.9970328636722847,9.47565,9.563897005915571,1.0093130292819565
delta,1,BPE,T1→T2,239,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,83.39391453022488,80.81346114362267,0.9690570540891571,8.97724,9.021852078858384,1.0049694648754388
delta,1,BPE,T2→T3,239,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,72.01213956260871,71.97356894255981,0.9994643872507722,7.8668499999999995,7.928125262153734,1.0077890467154877
static,2,LD,T0,240,log1p(FTV),log1p(LD),StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.1430963703915114,0.09508285721468836,0.6644672884053022,0.5251729702672776,0.33176552477563825,0.6317261998590521
static,2,LD,T1,240,log1p(FTV),log1p(LD),StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.19992405285296636,0.14677119761006788,0.7341347652551361,0.5595841267461774,0.3333649132746425,0.5957369005676854
static,2,LD,T2,240,log1p(FTV),log1p(LD),StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.3642710137478257,0.27515680519281177,0.7553628886411886,0.7518647372371963,0.5804790011927144,0.7720524350240761
static,2,LD,T3,240,log1p(FTV),log1p(LD),StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.3957580312081975,0.3366262107993093,0.8505859243630092,1.2237754316221157,1.0048298683590229,0.8210900810675041
