scope,selection_scope,fold,candidate,transition,delta_definition,n,spearman,abs_spearman,pearson,abs_pearson,fold_median_abs_spearman
all_workbook_descriptive,False,-1,LD,T0→T1,raw endpoint difference: X_end - X_start,384,0.38330264227079053,0.38330264227079053,0.275425073435681,0.275425073435681,0.3625157914557299
all_workbook_descriptive,False,-1,LD,T1→T2,raw endpoint difference: X_end - X_start,384,0.2509675227238154,0.2509675227238154,0.17269261247120377,0.17269261247120377,0.3625157914557299
all_workbook_descriptive,False,-1,LD,T2→T3,raw endpoint difference: X_end - X_start,384,0.3625157914557299,0.3625157914557299,0.2882553220249813,0.2882553220249813,0.3625157914557299
all_workbook_descriptive,False,-1,SPH,T0→T1,raw endpoint difference: X_end - X_start,384,-0.003999949137024855,0.003999949137024855,-0.06999008018358718,0.06999008018358718,0.10535544742463804
all_workbook_descriptive,False,-1,SPH,T1→T2,raw endpoint difference: X_end - X_start,384,-0.10535544742463804,0.10535544742463804,-0.060946549793873775,0.060946549793873775,0.10535544742463804
all_workbook_descriptive,False,-1,SPH,T2→T3,raw endpoint difference: X_end - X_start,384,-0.3611375080533044,0.3611375080533044,-0.05573801201307514,0.05573801201307514,0.10535544742463804
all_workbook_descriptive,False,-1,BPE,T0→T1,raw endpoint difference: X_end - X_start,384,0.2369333016852599,0.2369333016852599,0.17228883058628958,0.17228883058628958,0.2712153707910888
all_workbook_descriptive,False,-1,BPE,T1→T2,raw endpoint difference: X_end - X_start,384,0.2712153707910888,0.2712153707910888,0.2776192442809441,0.2776192442809441,0.2712153707910888
all_workbook_descriptive,False,-1,BPE,T2→T3,raw endpoint difference: X_end - X_start,384,0.3040118171645587,0.3040118171645587,0.06859388721880257,0.06859388721880257,0.2712153707910888
fold_train,True,0,LD,T0→T1,raw endpoint difference: X_end - X_start,247,0.39890836997374374,0.39890836997374374,0.3216824871787923,0.3216824871787923,0.38778560029039105
fold_train,True,0,LD,T1→T2,raw endpoint difference: X_end - X_start,247,0.21632950529991618,0.21632950529991618,0.16787685232196128,0.16787685232196128,0.38778560029039105
fold_train,True,0,LD,T2→T3,raw endpoint difference: X_end - X_start,247,0.38778560029039105,0.38778560029039105,0.4287604020106774,0.4287604020106774,0.38778560029039105
fold_train,True,0,SPH,T0→T1,raw endpoint difference: X_end - X_start,247,-0.02162774696834078,0.02162774696834078,-0.05590899326359211,0.05590899326359211,0.02162774696834078
