scope,visit,feature_row,FTV,LD,SPH,BPE
all_workbook_descriptive,T0,FTV,1.0,0.6184416635367851,-0.5871566749177716,0.18266950086467057
all_workbook_descriptive,T0,LD,0.6184416635367851,1.0,-0.4012026842919334,-0.03569671259715674
all_workbook_descriptive,T0,SPH,-0.5871566749177716,-0.4012026842919334,1.0,-0.08714925740056288
all_workbook_descriptive,T0,BPE,0.18266950086467057,-0.03569671259715674,-0.08714925740056288,1.0
all_workbook_descriptive,T1,FTV,1.0,0.5880427628079112,-0.5385123851344478,0.18928507849852497
all_workbook_descriptive,T1,LD,0.5880427628079112,1.0,-0.3858044143568111,-0.01895168682209978
all_workbook_descriptive,T1,SPH,-0.5385123851344478,-0.3858044143568111,1.0,-0.17942338340510663
all_workbook_descriptive,T1,BPE,0.18928507849852497,-0.01895168682209978,-0.17942338340510663,1.0
all_workbook_descriptive,T2,FTV,1.0,0.5492707947464005,-0.6956009884371503,0.19046128479875216
all_workbook_descriptive,T2,LD,0.5492707947464005,1.0,-0.2945221075463969,0.03410804629760818
all_workbook_descriptive,T2,SPH,-0.6956009884371503,-0.2945221075463969,1.0,-0.17633833203350174
all_workbook_descriptive,T2,BPE,0.19046128479875216,0.03410804629760818,-0.17633833203350174,1.0
all_workbook_descriptive,T3,FTV,1.0,0.3912963872207763,-0.7702962752564498,0.27758908721519676
all_workbook_descriptive,T3,LD,0.3912963872207763,1.0,-0.18216858650855944,-0.06231250682185109
all_workbook_descriptive,T3,SPH,-0.7702962752564498,-0.18216858650855944,1.0,-0.21801514551854975
all_workbook_descriptive,T3,BPE,0.27758908721519676,-0.06231250682185109,-0.21801514551854975,1.0
