seed,arm,timing,population,fold,model_family,split,selected_dimension,selected_C,validation_selection_auroc,n,n_positive,n_negative,auroc,auprc,brier,calibration_slope,ece10,supplementary
2026,B0,T0,full_808,0,C,train,,0.0001,0.7399035563592526,525,178,347,0.7624502153288217,0.662999998797933,0.24771109882583395,71.21000986612077,0.22589122753046512,False
2026,B0,T0,full_808,0,C,validation,,0.0001,0.7399035563592526,121,42,79,0.7399035563592526,0.5553606111359187,0.2480139422000223,63.33214162544272,0.15082563544779662,False
2026,B0,T0,full_808,0,C,test,,0.0001,0.7399035563592526,162,55,107,0.7143585386576041,0.5156486532448497,0.24812345121326743,48.26212499841346,0.17540193047292776,False
2026,B0,T0,full_808,0,M,train,32.0,1.0,0.5596745027124773,525,178,347,0.6747725285755919,0.5553745824366774,0.20140974112802176,1.0128934811504477,0.042440315055666034,False
2026,B0,T0,full_808,0,M,validation,32.0,1.0,0.5596745027124773,121,42,79,0.5596745027124773,0.3901440938966077,0.24002303111537093,0.23227514383033235,0.11628907633601891,False
2026,B0,T0,full_808,0,M,test,32.0,1.0,0.5596745027124773,162,55,107,0.5520815632965166,0.37693906018591294,0.2435912424135434,0.07873728918963119,0.08224156946926257,False
2026,B0,T0,full_808,0,C+M,train,8.0,0.0001,0.7224231464737794,525,178,347,0.7720428714826928,0.6814156937276838,0.24761307785386763,73.975711317412,0.24106344026816498,False
2026,B0,T0,full_808,0,C+M,validation,8.0,0.0001,0.7224231464737794,121,42,79,0.7224231464737794,0.5415282286429188,0.24797422443992642,58.39105597812599,0.150814233916655,False
2026,B0,T0,full_808,0,C+M,test,8.0,0.0001,0.7224231464737794,162,55,107,0.7201359388275276,0.5243868135660811,0.2480235493454825,49.99763880942036,0.22475619181553042,False
2026,B0,T0,ftv_complete_375,0,F,train,,0.0001,0.381578947368421,247,71,176,0.5196862996158771,0.32898201212723244,0.24944213465545179,201.4199285110294,0.21124616527745887,False
2026,B0,T0,ftv_complete_375,0,F,validation,,0.0001,0.381578947368421,59,19,40,0.381578947368421,0.300327368414694,0.2495619027624877,-755.5320856266151,0.17666166803714,False
2026,B0,T0,ftv_complete_375,0,F,test,,0.0001,0.381578947368421,69,20,49,0.636734693877551,0.39481787951302605,0.24942237858431213,1019.9163018404639,0.208828003852566,False
2026,B0,T0,ftv_complete_375,0,C+F,train,,0.0001,0.8473684210526317,247,71,176,0.7946542893725991,0.6750451739760228,0.24855096386939288,158.3853874869013,0.26718450210699535,False
2026,B0,T0,ftv_complete_375,0,C+F,validation,,0.0001,0.8473684210526317,59,19,40,0.8473684210526317,0.7026277473309375,0.24854081255047278,193.1324193505923,0.24367653407492562,False
2026,B0,T0,ftv_complete_375,0,C+F,test,,0.0001,0.8473684210526317,69,20,49,0.6948979591836735,0.46344777562342976,0.24897795779306528,79.27020281971012,0.20874079996195635,False
2026,B0,T0,ftv_complete_375,0,C+F+M,train,16.0,0.0001,0.8197368421052631,247,71,176,0.8378681177976953,0.7575057402263374,0.24829789547826736,180.09176919149425,0.3034694042271717,False
2026,B0,T0,ftv_complete_375,0,C+F+M,validation,16.0,0.0001,0.8197368421052631,59,19,40,0.8197368421052631,0.6254745791213066,0.2485429518806271,167.9176815996651,0.2097483526290588,False
2026,B0,T0,ftv_complete_375,0,C+F+M,test,16.0,0.0001,0.8197368421052631,69,20,49,0.613265306122449,0.35765502943973754,0.24920086183665432,32.45715192770691,0.20881723038434818,False
2026,B0,T0_T1,full_808,0,C,train,,0.0001,0.7399035563592526,525,178,347,0.7624502153288217,0.662999998797933,0.24771109882583395,71.21000986612077,0.22589122753046512,False
2026,B0,T0_T1,full_808,0,C,validation,,0.0001,0.7399035563592526,121,42,79,0.7399035563592526,0.5553606111359187,0.2480139422000223,63.33214162544272,0.15082563544779662,False
2026,B0,T0_T1,full_808,0,C,test,,0.0001,0.7399035563592526,162,55,107,0.7143585386576041,0.5156486532448497,0.24812345121326743,48.26212499841346,0.17540193047292776,False
2026,B0,T0_T1,full_808,0,M,train,32.0,1.0,0.596745027124774,525,178,347,0.677702943366901,0.5304653595962162,0.20367721645605744,1.0126599477142206,0.041934912108327234,False
2026,B0,T0_T1,full_808,0,M,validation,32.0,1.0,0.596745027124774,121,42,79,0.596745027124774,0.42354281045111386,0.2306670410680361,0.37351378067754537,0.14303571813567026,False
2026,B0,T0_T1,full_808,0,M,test,32.0,1.0,0.596745027124774,162,55,107,0.5376380628717078,0.36902468864086213,0.2402942243265431,0.06935043861935627,0.07659991613108486,False
2026,B0,T0_T1,full_808,0,C+M,train,16.0,0.0001,0.7371910789632308,525,178,347,0.7841854742091118,0.6971036139495287,0.2474537763704692,75.98469277970077,0.24284493624646486,False
2026,B0,T0_T1,full_808,0,C+M,validation,16.0,0.0001,0.7371910789632308,121,42,79,0.7371910789632308,0.5551078714037588,0.24795975762036696,60.03522886050453,0.15095032964031208,False
2026,B0,T0_T1,full_808,0,C+M,test,16.0,0.0001,0.7371910789632308,162,55,107,0.7111299915038233,0.5209677175758691,0.24803297425627877,47.23295440161138,0.1937793798364302,False
2026,B0,T0_T1,ftv_complete_375,0,F,train,,10.0,0.743421052631579,247,71,176,0.7147887323943662,0.45918727948403815,0.18582005846405428,1.0102764024994757,0.06018224532735032,False
2026,B0,T0_T1,ftv_complete_375,0,F,validation,,10.0,0.743421052631579,59,19,40,0.743421052631579,0.6276370001288532,0.18528353568353595,1.5720416585493373,0.09273913907695296,False
2026,B0,T0_T1,ftv_complete_375,0,F,test,,10.0,0.743421052631579,69,20,49,0.6316326530612246,0.3881432863141405,0.20193541308692792,0.6898647839130008,0.047033374445998435,False
2026,B0,T0_T1,ftv_complete_375,0,C+F,train,,10.0,0.8447368421052631,247,71,176,0.8689180537772088,0.7854694502272024,0.12024717581517501,1.0145270992928377,0.06508688568115228,False
2026,B0,T0_T1,ftv_complete_375,0,C+F,validation,,10.0,0.8447368421052631,59,19,40,0.8447368421052631,0.6658523646013457,0.15977849899886581,0.6123638483465254,0.1235164940114512,False
2026,B0,T0_T1,ftv_complete_375,0,C+F,test,,10.0,0.8447368421052631,69,20,49,0.683673469387755,0.4703031526007533,0.2088456071387401,108217197479.0433,0.1905479722362837,False
2026,B0,T0_T1,ftv_complete_375,0,C+F+M,train,8.0,10.0,0.8368421052631578,247,71,176,0.8711587708066582,0.7943675380520929,0.11877371415175968,1.0158079078008557,0.05486692695986911,False
2026,B0,T0_T1,ftv_complete_375,0,C+F+M,validation,8.0,10.0,0.8368421052631578,59,19,40,0.8368421052631578,0.6585573675272827,0.1616438228663345,0.5771344464178625,0.163997921639623,False
2026,B0,T0_T1,ftv_complete_375,0,C+F+M,test,8.0,10.0,0.8368421052631578,69,20,49,0.6897959183673469,0.4790985737621498,0.20192322880506677,34484662495.91502,0.2009974622740878,False
2026,B0,T0_T2,full_808,0,C,train,,0.0001,0.7399035563592526,525,178,347,0.7624502153288217,0.662999998797933,0.24771109882583395,71.21000986612077,0.22589122753046512,False
2026,B0,T0_T2,full_808,0,C,validation,,0.0001,0.7399035563592526,121,42,79,0.7399035563592526,0.5553606111359187,0.2480139422000223,63.33214162544272,0.15082563544779662,False
2026,B0,T0_T2,full_808,0,C,test,,0.0001,0.7399035563592526,162,55,107,0.7143585386576041,0.5156486532448497,0.24812345121326743,48.26212499841346,0.17540193047292776,False
2026,B0,T0_T2,full_808,0,M,train,32.0,0.1,0.6856540084388186,525,178,347,0.6916912217077356,0.5279816345110933,0.20256752454363605,1.123282386766897,0.03950358572960295,False
2026,B0,T0_T2,full_808,0,M,validation,32.0,0.1,0.6856540084388186,121,42,79,0.6856540084388186,0.5125405780490915,0.20778442163769448,0.9557332362769964,0.04743731808847463,False
2026,B0,T0_T2,full_808,0,M,test,32.0,0.1,0.6856540084388186,162,55,107,0.5221750212404419,0.3820920955724333,0.23553014445327883,0.18941984476614368,0.11452330732957663,False
2026,B0,T0_T2,full_808,0,C+M,train,64.0,0.0001,0.7739602169981916,525,178,347,0.8440404105818735,0.7800887551159246,0.2466449348045353,86.91489560766735,0.28412929270772774,False
