comparison,population,seed,arm,timing,reference_arm,reference_family,comparison_family,delta_auroc,ci_lower,ci_upper,reference_auroc,comparison_auroc,n_patients,n_folds,n_bootstrap,n_valid_bootstrap,confidence_level,bootstrap_unit,ci_method,orientation,bootstrap_seed
MRI_ceiling,full_808,2026,B3,T0_T1,B0,M,M,-0.0065086133378816635,-0.06769186928766209,0.05504840519034345,0.5258809483199727,0.519372334982091,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,4168506902
clinical_complementarity,full_808,2026,B3,T0_T1,B3,C,C+M,-0.01066007163568139,-0.039554077526737064,0.01801411805796749,0.6796145318096538,0.6689544601739724,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,2729046004
beyond_ftv,ftv_complete_375,2026,B3,T0_T1,B3,C+F,C+F+M,0.00864493996569482,-0.03598023146595092,0.0512786563863588,0.6971526586620925,0.7057975986277873,375,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,3086780110
MRI_ceiling,full_808,2026,B3,T0_T2,B0,M,M,-0.005191881289442257,-0.056685545353509975,0.051027727816202455,0.5382227528568992,0.533030871567457,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,2818699391
clinical_complementarity,full_808,2026,B3,T0_T2,B3,C,C+M,-0.015565410199556595,-0.03976922070973247,0.011152875586384241,0.6796145318096538,0.6640491216100972,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,1590535690
beyond_ftv,ftv_complete_375,2026,B3,T0_T2,B3,C+F,C+F+M,-0.02308747855917659,-0.0689014039232892,0.020607301168104133,0.726106346483705,0.7030188679245284,375,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,333039779
MRI_ceiling,full_808,3026,B1,T0,B0,M,M,0.0034930922735800785,-0.046959370313919516,0.05191321117814378,0.5459525840013645,0.5494456762749446,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,1890693455
clinical_complementarity,full_808,3026,B1,T0,B1,C,C+M,-0.0044925805901415705,-0.03319701162125397,0.0243400915982305,0.6796145318096538,0.6751219512195122,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,806931257
beyond_ftv,ftv_complete_375,3026,B1,T0,B1,C+F,C+F+M,-0.04552315608919377,-0.11346641097437998,0.023119385205766844,0.6880274442538593,0.6425042881646655,375,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,2437174811
MRI_ceiling,full_808,3026,B1,T0_T1,B0,M,M,-0.006556370458809524,-0.05398690514328994,0.04031553282563819,0.5597543919495139,0.5531980214907044,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,2027082885
clinical_complementarity,full_808,3026,B1,T0_T1,B1,C,C+M,-0.02102336687702544,-0.049057039286706725,0.006092423842864383,0.6796145318096538,0.6585911649326284,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,2653902971
beyond_ftv,ftv_complete_375,3026,B1,T0_T1,B1,C+F,C+F+M,-0.02716981132075469,-0.07667507662559907,0.022026145785087135,0.6971526586620925,0.6699828473413378,375,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,1290577146
MRI_ceiling,full_808,3026,B1,T0_T2,B0,M,M,0.01732219000511681,-0.023604574860475434,0.05891175568365627,0.5276820740235375,0.5450042640286543,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,3437405959
clinical_complementarity,full_808,3026,B1,T0_T2,B1,C,C+M,0.002643697765648878,-0.028989122806799373,0.03332690663098682,0.6796145318096538,0.6822582295753027,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,3406199477
beyond_ftv,ftv_complete_375,3026,B1,T0_T2,B1,C+F,C+F+M,-0.016192109777015462,-0.051700485397746056,0.019317660300296594,0.726106346483705,0.7099142367066895,375,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,4155015900
MRI_ceiling,full_808,3026,B2,T0,B0,M,M,0.007736653590312059,-0.03578573817533318,0.050905359883274603,0.5459525840013645,0.5536892375916765,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,849763466
clinical_complementarity,full_808,3026,B2,T0,B2,C,C+M,-0.014357837284666664,-0.04480250400281403,0.015841690661917193,0.6796145318096538,0.6652566945249871,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,2919086181
beyond_ftv,ftv_complete_375,3026,B2,T0,B2,C+F,C+F+M,-0.07073756432247003,-0.12601610262979956,-0.01728888805185971,0.6880274442538593,0.6172898799313893,375,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,2632329095
MRI_ceiling,full_808,3026,B2,T0_T1,B0,M,M,-0.022677809994883114,-0.07267783670979205,0.027831157033538587,0.5597543919495139,0.5370765819546308,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,358816522
clinical_complementarity,full_808,3026,B2,T0_T1,B2,C,C+M,-0.01209278526351698,-0.038362790917410045,0.012812540180143463,0.6796145318096538,0.6675217465461368,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,4214789809
beyond_ftv,ftv_complete_375,3026,B2,T0_T1,B2,C+F,C+F+M,-0.014682675814751134,-0.06786168410215573,0.038371233038909165,0.6971526586620925,0.6824699828473414,375,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,3708525932
MRI_ceiling,full_808,3026,B2,T0_T2,B0,M,M,0.02460173972369084,-0.023545292257345665,0.0724211501096242,0.5276820740235375,0.5522838137472283,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,3352314078
clinical_complementarity,full_808,3026,B2,T0_T2,B2,C,C+M,-0.019010745352208813,-0.04797454771243539,0.010528944596262113,0.6796145318096538,0.660603786457445,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,541607087
beyond_ftv,ftv_complete_375,3026,B2,T0_T2,B2,C+F,C+F+M,-0.017084048027444343,-0.06105901875901873,0.027649227210700518,0.726106346483705,0.7090222984562606,375,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,3589547505
MRI_ceiling,full_808,3026,B3,T0,B0,M,M,-0.0080163738700324,-0.05728841269654838,0.04024857215009956,0.5459525840013645,0.5379362101313321,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,3009535224
clinical_complementarity,full_808,3026,B3,T0,B3,C,C+M,-0.023261129114787726,-0.052282353184137764,0.005316135084427696,0.6796145318096538,0.6563534026948661,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,2249993880
beyond_ftv,ftv_complete_375,3026,B3,T0,B3,C+F,C+F+M,-0.03917667238421951,-0.0960699394818513,0.015520763883846028,0.6880274442538593,0.6488507718696398,375,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,1861121422
MRI_ceiling,full_808,3026,B3,T0_T1,B0,M,M,-0.017608732730684085,-0.06486951305120053,0.028334893297770426,0.5597543919495139,0.5421456592188298,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,1248725323
clinical_complementarity,full_808,3026,B3,T0_T1,B3,C,C+M,-0.00028995394849062883,-0.03463268346361876,0.034492182121712796,0.6796145318096538,0.6793245778611632,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,902846134
beyond_ftv,ftv_complete_375,3026,B3,T0_T1,B3,C+F,C+F+M,-0.03790737564322455,-0.08152552257868252,0.005499178348480359,0.6971526586620925,0.659245283018868,375,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,2137925331
MRI_ceiling,full_808,3026,B3,T0_T2,B0,M,M,0.012143953607368196,-0.03632824397645358,0.059016887745864534,0.5276820740235375,0.5398260276309057,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,3307671962
clinical_complementarity,full_808,3026,B3,T0_T2,B3,C,C+M,0.006423332764796119,-0.019542557704909744,0.033738689845236224,0.6796145318096538,0.6860378645744499,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,2658603224
beyond_ftv,ftv_complete_375,3026,B3,T0_T2,B3,C+F,C+F+M,-0.056243567753001766,-0.10839879010241918,-0.002827335196832148,0.726106346483705,0.6698627787307032,375,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,1742708516
