seed,arm,fold,selection_status,selected_epoch,epochs_run,selected_validation_mean_auroc,anchor_sampling_strategy,logical_patient_batch_size,encoder_microbatch_size,eligible_anchors_per_epoch,feature_sha256,config_sha256,test_labels_used,external_ispy1_patients_used,world_model_claim_allowed
3026,B1,2,SELECTED_VALIDATION_ONLY,47,59,0.5904159132007233,,,,,2650c5cce4729b6a1dd1bdc42613c698e2d096c9640044ec0c24f23cd915f311,21371b958a31a7f84813ad8c08664126c1664a5f8bf7200a9bcbcefdbcbfc554,False,0,False
3026,B1,3,SELECTED_VALIDATION_ONLY,12,24,0.5318089430894308,,,,,1721e18dbeaa6c64210aa0843754cfeff74ae538f2fa5d821c959d52950f7e68,21371b958a31a7f84813ad8c08664126c1664a5f8bf7200a9bcbcefdbcbfc554,False,0,False
3026,B1,4,SELECTED_VALIDATION_ONLY,2,14,0.6002032520325203,,,,,f76d1ec96c24c2bd22b271f9f7ce4799e5b0e7359bd75b0393ed0c194d777be8,21371b958a31a7f84813ad8c08664126c1664a5f8bf7200a9bcbcefdbcbfc554,False,0,False
3026,B2,0,SELECTED_VALIDATION_ONLY,2,5,0.5418927064496685,all_eligible_anchors_exactly_once_per_epoch,4.0,,506.0,e7e8459ade913f88374f13ee0d54782d4bcbd72a176b201701fa3bbde6f0fc12,21371b958a31a7f84813ad8c08664126c1664a5f8bf7200a9bcbcefdbcbfc554,False,0,False
3026,B2,1,SELECTED_VALIDATION_ONLY,6,9,0.6377032520325203,all_eligible_anchors_exactly_once_per_epoch,4.0,,513.0,9b64363f8306c0c7659332c689bc87b3da0d7853b7a5b12c19ee9b21405cb847,21371b958a31a7f84813ad8c08664126c1664a5f8bf7200a9bcbcefdbcbfc554,False,0,False
3026,B2,2,SELECTED_VALIDATION_ONLY,2,5,0.5985533453887885,all_eligible_anchors_exactly_once_per_epoch,4.0,,520.0,803f501eadb46b418816588da923d37c4de6b81e5d9f75cdc8734f89a044801d,21371b958a31a7f84813ad8c08664126c1664a5f8bf7200a9bcbcefdbcbfc554,False,0,False
3026,B2,3,SELECTED_VALIDATION_ONLY,1,4,0.5910569105691056,all_eligible_anchors_exactly_once_per_epoch,4.0,,515.0,d2cff59455be1820ae380ad631e747ef109e19719d9315bcff33378c8eabb1a4,21371b958a31a7f84813ad8c08664126c1664a5f8bf7200a9bcbcefdbcbfc554,False,0,False
3026,B2,4,SELECTED_VALIDATION_ONLY,1,4,0.5498983739837399,all_eligible_anchors_exactly_once_per_epoch,4.0,,524.0,f1e4b817cc3c697c9f429908739f3be929d359e863ee47f05a1c2ad92171456e,21371b958a31a7f84813ad8c08664126c1664a5f8bf7200a9bcbcefdbcbfc554,False,0,False
3026,B3,0,SELECTED_VALIDATION_ONLY,2,5,0.5747438215792645,all_eligible_anchors_exactly_once_per_epoch,4.0,1.0,506.0,7775a306332c3c530a813fd9ccdeb894598fb0486c59f15f6490eaa1ee726586,21371b958a31a7f84813ad8c08664126c1664a5f8bf7200a9bcbcefdbcbfc554,False,0,False
3026,B3,1,SELECTED_VALIDATION_ONLY,2,5,0.6553861788617886,all_eligible_anchors_exactly_once_per_epoch,4.0,1.0,513.0,da2e374110a675b6699f6f142a7939c9b77ace095695982857329fdea2479caf,21371b958a31a7f84813ad8c08664126c1664a5f8bf7200a9bcbcefdbcbfc554,False,0,False
3026,B3,2,SELECTED_VALIDATION_ONLY,2,5,0.609704641350211,all_eligible_anchors_exactly_once_per_epoch,4.0,1.0,520.0,fff100f2693f70dfc07aaed32077cd20ab2d1e7f12d20dea279078a9a4f72370,21371b958a31a7f84813ad8c08664126c1664a5f8bf7200a9bcbcefdbcbfc554,False,0,False
3026,B3,3,SELECTED_VALIDATION_ONLY,1,4,0.5832317073170732,all_eligible_anchors_exactly_once_per_epoch,4.0,1.0,515.0,c5dad42c2f54831872430649907fa400592e07ff75e05cd6d93f23ad4a8377f2,21371b958a31a7f84813ad8c08664126c1664a5f8bf7200a9bcbcefdbcbfc554,False,0,False
3026,B3,4,SELECTED_VALIDATION_ONLY,1,4,0.5430894308943089,all_eligible_anchors_exactly_once_per_epoch,4.0,1.0,524.0,0c116a22ce7b5c14c5fcb117bef5205402a5ea35c17f44ccbd06d9ea5bb13833,21371b958a31a7f84813ad8c08664126c1664a5f8bf7200a9bcbcefdbcbfc554,False,0,False
