seed,arm,timing,subgroup,eligible,status,n_folds,n,n_positive,n_negative,auroc,auprc,brier,calibration_slope,ece10
2026,B0,T0,HR-/HER2-,True,ok,5,287,124,163,0.5097466851375421,0.45295113467330417,0.2553955643363313,-0.5885018444445342,0.08586386503840761
2026,B0,T0,HR+/HER2-,True,ok,5,320,57,263,0.5175105063037821,0.1914317600302079,0.2470925296828132,-4429894771.26574,0.2751229578597196
2026,B0,T0,HER2+,True,ok,5,201,94,107,0.5297275800357925,0.4907885438735781,0.3145742408098413,-28167636969.99327,0.21896939568239743
2026,B0,T0_T1,HR-/HER2-,True,ok,5,287,124,163,0.510290916287354,0.46270949079126544,0.2518512471149464,0.15189667961334802,0.09811316231970049
2026,B0,T0_T1,HR+/HER2-,True,ok,5,320,57,263,0.5583350010006003,0.22185803828321737,0.20657790845770005,0.150942638058553,0.22594417866509092
2026,B0,T0_T1,HER2+,True,ok,5,201,94,107,0.5107377212169417,0.490085907248675,0.3122187049554374,1942104483.9649296,0.16153009290798553
2026,B0,T0_T2,HR-/HER2-,True,ok,5,287,124,163,0.5125667920047496,0.4703670164378551,0.28002738309564656,-32895449172.94204,0.1821394360639996
2026,B0,T0_T2,HR+/HER2-,True,ok,5,320,57,263,0.4637449136148355,0.16636045992750148,0.2399696723726108,-55170882209.63133,0.2745867881916416
2026,B0,T0_T2,HER2+,True,ok,5,201,94,107,0.5351958639888647,0.498305817925201,0.31656984924960796,6633141750.041527,0.19329682178038576
2026,B1,T0,HR-/HER2-,True,ok,5,287,124,163,0.5539283593904611,0.503827574304845,0.26042147262546494,-6996199926.966457,0.11919816032361297
2026,B1,T0,HR+/HER2-,True,ok,5,320,57,263,0.6121005936895471,0.24452422195211299,0.23891895958045514,-0.14238127987480928,0.3008119841285377
2026,B1,T0,HER2+,True,ok,5,201,94,107,0.5523961026048917,0.5351747743213481,0.2913253028410948,-1896236871.2345848,0.17256912675887917
2026,B1,T0_T1,HR-/HER2-,True,ok,5,287,124,163,0.5283494953492974,0.5044963877067644,0.24891410144975956,0.34218413713046664,0.091547804242656
2026,B1,T0_T1,HR+/HER2-,True,ok,5,320,57,263,0.5382562871055967,0.19682537135986378,0.20068703338184468,0.17332704205230703,0.1999260768142195
2026,B1,T0_T1,HER2+,True,ok,5,201,94,107,0.5374826009146947,0.512667901429552,0.255077874765351,0.18882375254282843,0.06135013872139661
2026,B1,T0_T2,HR-/HER2-,True,ok,5,287,124,163,0.5038590936077577,0.43399041717432446,0.2758310304714343,6122749828.697912,0.1070417401186941
2026,B1,T0_T2,HR+/HER2-,True,ok,5,320,57,263,0.5754786205056367,0.23686366102183054,0.2141440438777668,8718329902.055408,0.23099858890621053
2026,B1,T0_T2,HER2+,True,ok,5,201,94,107,0.5925631338238218,0.5663971937110674,0.270829538938421,5885741370.308191,0.11350258334217865
2026,B2,T0,HR-/HER2-,True,ok,5,287,124,163,0.4635859885216703,0.4366240320332707,0.2823012434415029,27416168455.500782,0.18203942088038044
2026,B2,T0,HR+/HER2-,True,ok,5,320,57,263,0.5112400773797612,0.18360515383003811,0.23850205377356914,3065865513.1143236,0.27088119308929787
2026,B2,T0,HER2+,True,ok,5,201,94,107,0.5616424736528137,0.5669683809509809,0.34263227316238304,-9768186840.360523,0.2921124595496926
2026,B2,T0_T1,HR-/HER2-,True,ok,5,287,124,163,0.437067088858104,0.3906629013779417,0.26683316988636974,-0.5793428922972579,0.12011034637188514
2026,B2,T0_T1,HR+/HER2-,True,ok,5,320,57,263,0.4792875725435261,0.173290808011842,0.1978652791715556,-22268621588.115005,0.15025991698433486
2026,B2,T0_T1,HER2+,True,ok,5,201,94,107,0.5939550606482402,0.5735272694936405,0.2838237948065566,7397218657.37249,0.1427366576602927
2026,B2,T0_T2,HR-/HER2-,True,ok,5,287,124,163,0.5343855135563031,0.46312070327644017,0.2597382781335987,0.013702500090330496,0.08900172021207288
2026,B2,T0_T2,HR+/HER2-,True,ok,5,320,57,263,0.475685411246748,0.1658963262271582,0.23943074981363202,-35311078960.71956,0.21807667142039147
2026,B2,T0_T2,HER2+,True,ok,5,201,94,107,0.5978822827599921,0.5637156752179956,0.27211835783262,16691113373.598276,0.1339655088228845
2026,B3,T0,HR-/HER2-,True,ok,5,287,124,163,0.47268949139125266,0.4189294669338578,0.2747396293353813,-0.08045534314010867,0.1431838785223397
2026,B3,T0,HR+/HER2-,True,ok,5,320,57,263,0.508371689680475,0.1859106064662725,0.19325287848242645,0.019049029083862887,0.1666689381567844
2026,B3,T0,HER2+,True,ok,5,201,94,107,0.5703917279777291,0.5259168324516802,0.31374937238653305,16612865772.602257,0.20551128925116646
2026,B3,T0_T1,HR-/HER2-,True,ok,5,287,124,163,0.46996833564219276,0.43831812673861925,0.2675769503895022,22684073494.7272,0.12374862839688941
2026,B3,T0_T1,HR+/HER2-,True,ok,5,320,57,263,0.5280501634313922,0.1946168587757758,0.2158880412215037,0.0933136485593445,0.22768705889331353
2026,B3,T0_T1,HER2+,True,ok,5,201,94,107,0.5685026844303043,0.5165903072409008,0.27821902208815785,31965201351.423393,0.1479233271009967
2026,B3,T0_T2,HR-/HER2-,True,ok,5,287,124,163,0.4942608351474372,0.45009208976437887,0.24957640051291718,0.35270250669965847,0.07190341303867569
2026,B3,T0_T2,HR+/HER2-,True,ok,5,320,57,263,0.4706824094456674,0.16598834139646831,0.24274841159748123,-4873778003.506468,0.2735421336140411
2026,B3,T0_T2,HER2+,True,ok,5,201,94,107,0.5501093656790614,0.5455641274119906,0.25666085603191285,0.27283919139346224,0.07669468274084162
3026,B0,T0,HR-/HER2-,True,ok,5,287,124,163,0.4575499703146646,0.40605753279481127,0.2733187170626454,-0.5746431251424068,0.1318470090141141
3026,B0,T0,HR+/HER2-,True,ok,5,320,57,263,0.5908211593622841,0.26662962970718096,0.20505141670794017,13262851607.564377,0.1822117932498225
3026,B0,T0,HER2+,True,ok,5,201,94,107,0.5194869755418573,0.5062992819939974,0.31540974656349924,2641957637.717492,0.18803980448430035
3026,B0,T0_T1,HR-/HER2-,True,ok,5,287,124,163,0.43083316841480307,0.40318021631056566,0.29456898618619715,216673414974.24698,0.17876039980809316
3026,B0,T0_T1,HR+/HER2-,True,ok,5,320,57,263,0.5726769394970315,0.2153258672174929,0.1948970862130277,-24755861050.4888,0.17297286084693697
3026,B0,T0_T1,HER2+,True,ok,5,201,94,107,0.5422549214555578,0.5034363263210433,0.27198495882815676,-6546262077.600937,0.10207291935779587
3026,B0,T0_T2,HR-/HER2-,True,ok,5,287,124,163,0.47254106471403123,0.41824936684489883,0.2716339304129392,-0.35748411984717604,0.12071677583309173
3026,B0,T0_T2,HR+/HER2-,True,ok,5,320,57,263,0.5557334400640385,0.21779796373082264,0.2033057017128738,-13283911852.729084,0.16940805029881406
3026,B0,T0_T2,HER2+,True,ok,5,201,94,107,0.5433485782461722,0.5072118417538136,0.2906185306878749,-550468025.5896835,0.1705505636946064
3026,B1,T0,HR-/HER2-,True,ok,5,287,124,163,0.49920839105481896,0.43339653151602814,0.2569455802665801,-0.11624515228734597,0.0868350266850338
3026,B1,T0,HR+/HER2-,True,ok,5,320,57,263,0.5491961843772931,0.2331385543174068,0.19026658084837644,0.1526591861124852,0.18167693213700634
3026,B1,T0,HER2+,True,ok,5,201,94,107,0.5777490554782262,0.5196019790827178,0.29309523241800217,22385514420.512066,0.1576757976574664
3026,B1,T0_T1,HR-/HER2-,True,ok,5,287,124,163,0.49435978626558474,0.4480151835646732,0.26519045228885335,-0.2889373233027994,0.12452303356491069
