population,seed,arm,timing,model_family,train_auroc,train_auprc,train_brier,train_calibration_slope,train_ece10,validation_auroc,validation_auprc,validation_brier,validation_calibration_slope,validation_ece10,test_auroc,test_auprc,test_brier,test_calibration_slope,test_ece10,train_test_auroc_gap,validation_test_auroc_gap,train_test_auprc_gap,validation_test_auprc_gap,train_test_brier_gap,validation_test_brier_gap,train_test_calibration_slope_gap,validation_test_calibration_slope_gap,train_test_ece10_gap,validation_test_ece10_gap,supplementary
ftv_complete_375,2026,B0,T0,C+F,0.7412484993997599,0.5748943434191602,0.23191659016224755,3.7799740074705723,0.24003937235770045,0.7006381934216985,0.5103979586572936,0.23923076724044895,2.322627740453974,0.20793866494370336,0.6880274442538593,0.538897485664505,0.2356217123236572,1.9791826600613769,0.20760909895596014,0.053221055145900587,0.01261074916783922,0.03599685775465522,-0.028499527007211367,-0.003705122161409641,0.003609054916791754,1.8007913474091954,0.343445080392597,0.03243027340174032,0.00032956598774322443,False
ftv_complete_375,2026,B0,T0,C+F+M,0.7829188818384498,0.6587303030463,0.2112059833639021,1.6783234120033337,0.22732974088944063,0.6835542464408444,0.4771985898832968,0.23477080958737534,0.5566065579706768,0.166168634532338,0.6553001715265866,0.4883585337259269,0.23089873455160567,0.424880476678266,0.1660567303907195,0.12761871031186323,0.0282540749142578,0.17037176932037307,-0.011159943842630138,-0.019692751187703583,0.0038720750357696676,1.2534429353250678,0.1317260812924108,0.06127301049872114,0.00011190414161849072,False
ftv_complete_375,2026,B0,T0,F,0.5207580174927113,0.3114707118906048,0.2494597940892563,180.46405811489595,0.21122753047080667,0.49405989199803635,0.3342282098219619,0.2495411953935536,-37.470741614827254,0.18278532234463502,0.5020926243567754,0.2921751272631997,0.24948439956033697,-5.860876159501371,0.20541501744682783,0.01866539313593596,-0.008032732358739025,0.019295584627405105,0.04205308255876217,-2.460547108065758e-05,5.679583321663295e-05,186.32493427439732,-31.60986545532588,0.005812513023978838,-0.022629695102192815,False
ftv_complete_375,2026,B0,T0_T1,C+F,0.82020236666095,0.7039175058204599,0.15021336397302898,1.0337381841479443,0.07667549228191312,0.753460972017673,0.5632602998862569,0.19106754888872926,0.42455664461871706,0.13030253488360505,0.6971526586620925,0.5259975356624463,0.19795462758831528,0.32128685761797604,0.10648855747813783,0.1230497079988575,0.05630831335558051,0.17791997015801353,0.037262764223810585,-0.0477412636152863,-0.006887078699586019,0.7124513265299682,0.10326978700074102,-0.029813065196224717,0.023813977405467215,False
ftv_complete_375,2026,B0,T0_T1,C+F+M,0.8315348996741554,0.737992432935508,0.1497730872315292,1.0395918873400851,0.09989700511303254,0.7683357879234168,0.596129672575848,0.1857649727830329,0.6423227053767708,0.1044226189125043,0.700548885077187,0.5117856531898162,0.1984265030941452,0.34466849463975735,0.12809625204002545,0.13098601459696835,0.06778690284622979,0.2262067797456918,0.08434401938603187,-0.048653415862615984,-0.012661530311112307,0.6949233927003278,0.2976542107370135,-0.02819924692699291,-0.023673633127521146,False
ftv_complete_375,2026,B0,T0_T1,F,0.6470794031898474,0.3998274581324778,0.1963504423146477,1.0485689544746053,0.041832803801554394,0.6782523318605792,0.49827404446534884,0.20022799503904365,1.4472484282754177,0.03074984345706503,0.6593481989708404,0.4223046318898934,0.19643059789657366,1.1266414532427544,0.052473986229750594,-0.012268795780993047,0.0189041328897388,-0.022477173757415647,0.07596941257545542,-8.015558192595029e-05,0.003797397142469988,-0.07807249876814915,0.3206069750326632,-0.0106411824281962,-0.021724142772685563,False
ftv_complete_375,2026,B0,T0_T2,C+F,0.8331709826787858,0.7331488171100159,0.14705731536816613,1.0672334953577716,0.0897726274958188,0.7710358370152185,0.5922312262447422,0.18452870228380422,0.5786270670689587,0.10617609887061057,0.726106346483705,0.5400010651611841,0.1887354938947084,0.42596951678238537,0.0951142685321569,0.10706463619508078,0.044929490531513516,0.19314775194883183,0.05223016108355816,-0.041678178526542264,-0.004206791610904176,0.6412639785753862,0.15265755028657335,-0.005341641036338107,0.011061830338453663,False
ftv_complete_375,2026,B0,T0_T2,C+F+M,0.8549271137026238,0.7643191032573285,0.14044610628631016,1.0948576144432667,0.09440417295771843,0.7600883652430044,0.5690582536124446,0.1897424063703427,0.5966253280811015,0.10510686215485344,0.7091252144082333,0.5131599416626581,0.20208191553175067,0.35576373596247496,0.12158698992255887,0.14580189929439047,0.0509631508347711,0.25115916159467044,0.05589831194978645,-0.061635809245440515,-0.012339509161407969,0.7390938784807917,0.2408615921186265,-0.027182816964840442,-0.016480127767705424,False
ftv_complete_375,2026,B0,T0_T2,F,0.6882730234951124,0.43137928542400844,0.18848998708162787,1.0298676511623164,0.03543381948356552,0.7120765832106039,0.5747389750057845,0.19100897157805033,1.4267657932901625,0.04404900936578839,0.66295025728988,0.43481895924844305,0.19396322798683355,0.9630330684975781,0.030789290939892418,0.02532276620523244,0.04912632592072386,-0.003439673824434608,0.13992001575734148,-0.0054732409052056785,-0.002954256408783218,0.0668345826647383,0.4637327247925844,0.0046445285436731015,0.013259718425895975,False
ftv_complete_375,2026,B0,T0_T3,C+F,0.8253026925055736,0.7177046233836599,0.15848351502328523,1.5120798660489956,0.12410258225584092,0.7570446735395189,0.5756603523880965,0.19177270286782352,0.9256242152106611,0.10592145873058652,0.7154030874785592,0.5393749537451002,0.1929936281829481,0.6387145341362166,0.12101744457375166,0.10989960502701446,0.04164158606095969,0.17832966963855967,0.03628539864299629,-0.034510113159662875,-0.001220925315124577,0.873365331912779,0.2869096810744445,0.0030851376820892618,-0.015095985843165141,True
