population,seed,arm,timing,model_family,n,n_positive,n_negative,auroc,auprc,brier,calibration_slope,ece10,supplementary
ftv_complete_375,2026,B3,T0_T1,F,375,110,265,0.6593481989708404,0.4223046318898934,0.19643059789657366,1.1266414532427544,0.052473986229750594,False
ftv_complete_375,2026,B3,T0_T2,C+F,375,110,265,0.726106346483705,0.5400010651611841,0.1887354938947084,0.42596951678238537,0.0951142685321569,False
ftv_complete_375,2026,B3,T0_T2,C+F+M,375,110,265,0.7030188679245284,0.4941871835500242,0.219972234868657,26290246870.735764,0.14583617377362942,False
ftv_complete_375,2026,B3,T0_T2,F,375,110,265,0.66295025728988,0.43481895924844305,0.19396322798683355,0.9630330684975781,0.030789290939892418,False
ftv_complete_375,2026,B3,T0_T3,C+F,375,110,265,0.7154030874785592,0.5393749537451002,0.1929936281829481,0.6387145341362166,0.12101744457375166,True
ftv_complete_375,2026,B3,T0_T3,C+F+M,375,110,265,0.7147512864493997,0.5065948440835615,0.19775423496721062,0.44760822571491327,0.12141294599962432,True
ftv_complete_375,2026,B3,T0_T3,F,375,110,265,0.6913207547169811,0.4682411335811604,0.1879431858034445,1.159028415610116,0.02985679457877869,True
ftv_complete_375,3026,B0,T0,C+F,375,110,265,0.6880274442538593,0.538897485664505,0.2356217123236572,1.9791826600613769,0.20760909895596014,False
ftv_complete_375,3026,B0,T0,C+F+M,375,110,265,0.6562607204116637,0.4960681844590194,0.2291049411100029,0.37254652885812156,0.18228541333800213,False
ftv_complete_375,3026,B0,T0,F,375,110,265,0.5020926243567754,0.2921751272631997,0.24948439956033697,-5.860876159501371,0.20541501744682783,False
ftv_complete_375,3026,B0,T0_T1,C+F,375,110,265,0.6971526586620925,0.5259975356624463,0.19795462758831528,0.32128685761797604,0.10648855747813783,False
ftv_complete_375,3026,B0,T0_T1,C+F+M,375,110,265,0.7034991423670669,0.5221427289667038,0.1912669314294182,0.31002063044371336,0.11156086821295257,False
ftv_complete_375,3026,B0,T0_T1,F,375,110,265,0.6593481989708404,0.4223046318898934,0.19643059789657366,1.1266414532427544,0.052473986229750594,False
ftv_complete_375,3026,B0,T0_T2,C+F,375,110,265,0.726106346483705,0.5400010651611841,0.1887354938947084,0.42596951678238537,0.0951142685321569,False
ftv_complete_375,3026,B0,T0_T2,C+F+M,375,110,265,0.646106346483705,0.4265074364857462,0.24280986400557095,33009642002.371704,0.18802226832284225,False
ftv_complete_375,3026,B0,T0_T2,F,375,110,265,0.66295025728988,0.43481895924844305,0.19396322798683355,0.9630330684975781,0.030789290939892418,False
ftv_complete_375,3026,B0,T0_T3,C+F,375,110,265,0.7154030874785592,0.5393749537451002,0.1929936281829481,0.6387145341362166,0.12101744457375166,True
ftv_complete_375,3026,B0,T0_T3,C+F+M,375,110,265,0.6892624356775299,0.4968621272832051,0.20337820046684726,0.34085294192909127,0.12667056024144352,True
ftv_complete_375,3026,B0,T0_T3,F,375,110,265,0.6913207547169811,0.4682411335811604,0.1879431858034445,1.159028415610116,0.02985679457877869,True
ftv_complete_375,3026,B1,T0,C+F,375,110,265,0.6880274442538593,0.538897485664505,0.2356217123236572,1.9791826600613769,0.20760909895596014,False
ftv_complete_375,3026,B1,T0,C+F+M,375,110,265,0.6425042881646655,0.4343614034960025,0.24401530371795108,-17145864495.304726,0.18709762777392538,False
